City Name,latitude,longitude,Temperature,Humidity,Cloudiness,WindSpeed
saint-denis,-17.59375614746154,54.490614639432906,40.748000000000005,100.0,90.0,3.1
kalikapur,22.662873591535654,86.21158233974667,87.89,59.0,0.0,2.97
gazanjyk,38.63596109762712,55.14330070293283,63.95,75.0,0.0,2.92
esmeraldas,1.258148230617281,-80.17984902466812,69.80000000000001,88.0,0.0,0.5
kabompo,-12.645525529059807,24.00754578712691,67.226,90.0,68.0,3.37
peniche,40.06407163907967,-10.788743770225253,52.718,87.0,75.0,3.6
vila franca do campo,31.947492481021474,-24.34076318166872,57.2,62.0,20.0,5.1
winnemucca,41.407090022207754,-118.41560685541239,30.2,63.0,1.0,5.1
odienne,9.164928274064067,-7.746795216016525,76.82,59.0,0.0,4.17
hanzhong,33.645386623408456,106.39358967337593,41.576,100.0,92.0,1.52
sioux lookout,53.20750690603201,-89.6247928435735,28.706,58.0,40.0,3.6
rawson,-49.81839800361756,-59.95276572551965,51.8,45.0,0.0,4.47
cao bang,22.883639694985792,105.78205844916911,83.12,61.0,0.0,2.27
sao joao da barra,-27.602780753323845,-30.087983384573384,76.04599999999999,100.0,80.0,2.22
sonneberg,50.248686625167565,11.205002708901896,27.032,86.0,76.0,1.62
luderitz,-31.838361050015916,1.7871150727003213,57.2,93.0,0.0,2.1
dera bugti,29.0956765003002,68.59177716177922,77.9,49.0,0.0,1.57
soligalich,59.37238022384368,42.57654413613249,9.841999999999999,80.0,80.0,7.77
kyabe,10.161316120111655,19.377642160667158,75.596,52.0,0.0,1.07
japura,-0.36034951507868607,-69.22854362649942,81.14,84.0,80.0,1.22
nanpiao,40.912178732573,120.1334107668405,32.216,45.0,0.0,1.92
boueni,-13.61409116765831,44.63583271571988,78.80000000000001,88.0,75.0,7.2
vanimo,1.2761276757534472,143.5053280732864,83.66,100.0,56.0,8.27
khani,56.53048399342109,121.21649168377101,51.8,93.0,90.0,9.3
dudinka,68.6178497222231,84.55742581713353,-6.268000000000001,73.0,44.0,2.87
kindu,-3.441570434250411,26.000573680748357,72.32,91.0,44.0,1.32
erdenet,48.707894617343726,105.56701620468787,18.932000000000002,44.0,0.0,1.47
bam,28.72150961408991,59.072840525892005,70.916,27.0,8.0,1.42
aguada de pasajeros,22.052670989752908,-80.96523042354164,60.8,82.0,0.0,2.1
abu dhabi,21.361893425309205,53.36206854232128,61.664,77.0,0.0,1.5
pagudpud,19.886336082167045,120.24015322833095,87.80000000000001,70.0,20.0,4.1
huarmey,-15.433435160338066,-88.94067361215014,63.176,87.0,12.0,1.32
tuatapere,-48.57336840210799,162.73900202529225,60.89,92.0,24.0,2.77
umm kaddadah,16.44761208072462,27.52252128233546,63.95,19.0,0.0,3.17
trelew,-43.10466161627002,-67.26977744505051,51.8,45.0,0.0,4.47
batamshinskiy,50.315121880347014,57.80334147309675,14.0,85.0,90.0,8.0
bela,26.663209431938597,65.36029032651915,81.95,23.0,0.0,1.32
octeville,49.396620733953085,-1.8466367883012804,40.208,100.0,75.0,4.6
iralaya,16.1150752680789,-80.95755954943112,76.37,86.0,56.0,4.22
verkhoyansk,69.72209743982593,133.03959411102355,-11.398000000000003,72.0,64.0,1.67
yushan,31.512062213137945,120.84074374035502,50.0,61.0,0.0,4.0
thaba-tseka,-29.914257622160953,28.20296116257921,47.21,100.0,68.0,1.27
najran,19.209443930751725,46.21684667990509,57.2,47.0,0.0,1.62
krasnovishersk,61.162752309247516,58.39635570813705,15.692,82.0,80.0,2.87
almeirim,-1.2898586474046358,-52.28921904404171,55.400000000000006,82.0,40.0,8.2
severomuysk,55.98543027018637,113.21486812394397,-10.048000000000002,59.0,24.0,1.22
davila,18.522392636245655,119.95031033191171,87.80000000000001,70.0,20.0,4.1
alofi,-20.43982901228854,-166.4402486275017,84.2,70.0,68.0,6.7
raudeberg,64.10300001262225,2.3317228145049222,28.4,63.0,64.0,3.1
simbahan,7.287922036863671,119.77395261811657,84.416,100.0,32.0,1.67
houma,27.271915479924303,-89.74164102478585,45.59,81.0,88.0,1.92
kalmunai,8.988897147021701,85.54024615390111,82.67,91.0,44.0,2.22
aguimes,24.87605933636189,-14.26190752243147,64.4,68.0,20.0,1.5
bonthe,3.29572822104831,-17.992232207945023,74.876,99.0,12.0,1.27
kuusamo,66.759871913697,28.920469517543097,6.800000000000001,92.0,90.0,1.5
torbay,46.77992227189745,-46.0012732095734,30.2,100.0,75.0,10.3
tromso,70.67521460555183,18.360202259348803,10.399999999999999,85.0,0.0,1.5
bambous virieux,-30.246280735437082,69.34798881418688,80.6,83.0,75.0,4.6
daule,-1.83416442877277,-79.97336130836663,77.0,83.0,75.0,0.5
bubaque,3.7688726092108005,-21.70910573735008,71.6,94.0,0.0,1.5
harrismith,-28.402164242322215,29.233404242535947,63.769999999999996,87.0,0.0,1.62
barquisimeto,10.693591779640007,-69.5237748296294,67.37,99.0,92.0,1.57
horadiz,39.226102615702594,47.656551904875705,58.946,77.0,0.0,3.32
la ronge,54.7099747657103,-105.33120351790515,15.8,66.0,90.0,5.1
yeniseysk,59.192364077913616,92.76702676562981,8.942,72.0,0.0,2.07
mweka,-4.514684894490918,21.630630576832903,68.126,98.0,88.0,1.42
gorontalo,2.6347874303460452,122.9930602556017,78.926,93.0,64.0,0.77
emerald,-23.813174330396883,147.0428203130083,87.02600000000001,58.0,92.0,2.77
along,31.73879943711007,95.67139469377535,67.04599999999999,64.0,32.0,0.87
okhotsk,60.945387264546326,145.0670662685448,20.012,87.0,56.0,2.77
roebourne,-21.39528636186087,117.87256735466282,103.37,28.0,0.0,3.22
karoi,-16.440694947957695,29.95444507231765,67.766,98.0,88.0,1.92
thabazimbi,-24.29992811701812,27.72116086462253,66.866,77.0,8.0,0.77
marsh harbour,28.635596347226357,-75.89969534535557,69.29599999999999,100.0,44.0,9.17
hovd,44.129002803858434,102.7714954628027,14.09,78.0,0.0,4.1
souillac,-36.627581322668476,65.35236160927921,42.602000000000004,87.0,0.0,4.1
new york,40.69379337599132,-73.88024744554237,32.972,50.0,1.0,4.6
oussouye,11.486993386056016,-20.56217860632572,69.80000000000001,83.0,0.0,3.1
luganville,-16.46345974157145,164.2794954489944,84.416,100.0,76.0,2.47
bayir,30.92947940732143,37.086422739315,50.0,87.0,75.0,2.1
dunedin,-48.27190367930366,172.40346548730773,61.16,93.0,80.0,1.82
lasa,30.876443517540803,89.57790591407257,54.608000000000004,71.0,0.0,2.6
abong mbang,3.424923482664668,13.287591229328918,69.53,90.0,44.0,1.77
antalaha,-13.68295176072417,56.364395228285794,84.65,78.0,88.0,5.32
kijang,0.6830122400579626,104.05799679831514,42.8,75.0,90.0,11.3
catemaco,19.120853596207155,-94.77665507731481,69.98,100.0,0.0,1.72
naryan-mar,67.56000754140533,52.38916505898974,4.9460000000000015,86.0,56.0,4.62
vila,-17.14973813245496,169.99966284177037,35.618,100.0,90.0,2.6
varhaug,57.360885224248975,3.367041692865081,30.2,50.0,0.0,5.1
harper,0.05228156241401716,-7.105226609516336,67.37,77.0,75.0,3.6
udachnyy,68.27149661212005,113.48317904694369,-12.064,56.0,56.0,1.87
petropavlovsk-kamchatskiy,51.83119656205863,160.28729288681865,24.8,85.0,90.0,8.0
mishan,45.39478240719765,131.92468704150397,17.942,67.0,12.0,5.62
sobolevo,53.97106851164006,155.14056502711762,11.515999999999998,87.0,44.0,5.37
dzerzhinsk,54.126217583108655,26.719860782999252,15.8,92.0,90.0,2.0
hammerfest,74.16030738364296,22.490752923434115,14.0,85.0,88.0,3.77
pechenga,69.71624028553651,31.75825670347574,9.661999999999999,81.0,80.0,8.07
verkhovazhye,60.447306206688964,42.31607364536192,8.132000000000001,80.0,68.0,7.42
nabire,-3.064161824459607,134.11525300200734,80.6,77.0,32.0,1.22
salaga,8.861913865492154,-0.5280633204974411,76.73,83.0,0.0,4.32
santa maria,18.608089322248823,-23.05318825247361,64.03999999999999,88.0,24.0,0.72
mangan,29.69603985701196,88.37915712038019,33.53,77.0,80.0,0.87
auki,-4.1345868745385115,163.8960422662037,58.91,50.0,0.0,1.67
takoradi,1.9629891258579928,-0.6435657008528729,78.476,100.0,8.0,3.17
obihiro,42.8908324026714,143.6655902293586,29.318,86.0,75.0,1.0
ferrol,46.01766596603599,-9.409806028870152,42.8,100.0,20.0,2.6
kirakira,-12.706684137843526,162.75000817215098,84.02,100.0,56.0,2.22
guerrero negro,25.1932608018772,-115.09458485575668,55.076,96.0,24.0,5.12
lensk,61.723096172346686,115.20329946502397,-2.2180000000000035,58.0,56.0,4.47
taoudenni,20.97864757033031,-3.279689297754542,56.75,31.0,0.0,4.32
nome,66.04285522525934,-165.57907713415517,69.332,77.0,90.0,3.1
half moon bay,31.70249893589639,-135.12437123904337,48.74,76.0,1.0,5.1
batemans bay,-35.82887495668115,149.848375336603,64.346,95.0,80.0,2.67
praia da vitoria,43.77624199684597,-24.44389953211697,53.6,81.0,20.0,4.92
samagaltay,50.553019046862715,94.59474379589503,11.462,78.0,36.0,1.77
pangnirtung,63.909816397257146,-63.47659801701008,3.181999999999995,85.0,48.0,2.67
concepcion del oro,24.33574311880695,-101.2380116857185,45.95,88.0,0.0,1.22
gisborne,-41.42526854832947,179.71368214304158,69.116,96.0,68.0,3.92
brigantine,38.05772431369614,-72.70187594877673,33.08,47.0,1.0,8.2
hami,42.4482093272292,94.75489717988981,51.926,52.0,0.0,2.02
